Source_ID,Station_ID,Latitude,Longitude,Elevation,Station_Name,Station_State,Station_FIPS,Country,Data_Policy,WMO_ID
221,AFWA-030201,57.8170000,-8.5670000,20.00, "SAINT KILDA ISLAND" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030271,57.4670000,-6.3000000,67.00, "PRABOST" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030281,57.4170000,-6.7830000,24.00, "NEIST PT. (LGT-H)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030301,57.1000000,-5.8330000,9.00, "SAASAIG" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030321,57.8670000,-5.8170000,16.00, "RUBH RE" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030521,57.9500000,-4.4170000,7.00, "SHIN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030580,57.6830000,-4.1670000,3.00, "INVERGORDON HARBOUR" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030641,57.1670000,-3.7000000,341.00, "GLENMORE LODGE" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030731,57.0330000,-3.2170000,317.00, "CRATHIE DISTILLERY" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030740,58.6170000,-3.5500000,10.00, "SCRABSTER HARBOUR" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030760,58.4500000,-3.1000000,39.00, "TEMP FOR 03075" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030891,56.6830000,-2.4500000,30.00, "USAN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030901,57.6500000,-2.2500000,231.00, "WINDY HEAD" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030931,57.7000000,-2.0000000,18.00, "FRASERBURGH (LH)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-030960,56.6500000,-3.3830000,175.00, "BRIDGE OF CLAY" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031061,55.9170000,-6.1330000,20.00, "RHUVAAL" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031071,55.8170000,-5.1000000,83.00, "DHU LOCH" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031191,54.8500000,-5.1330000,30.00, "PORTPATRICK" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031431,56.4830000,-4.3500000,114.00, "KILLIN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031451,55.8670000,-4.2670000,15.00, "GLASGOW WEA CEN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031471,55.1000000,-4.1830000,55.00, "GLENLEE" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031491,56.0670000,-4.0500000,335.00, "EARL'S HILL" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031501,55.5000000,-3.7670000,274.00, "CRAWFORDJOHN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031751,56.3000000,-2.5330000,5.00, "NORTH CARR(LGT-VSL)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031771,56.4330000,-2.3830000,28.00, "BELL ROCK (LGT-H)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-031901,55.5830000,-1.6500000,11.00, "SEAHOUSES" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032111,54.5170000,-3.6330000,94.00, "ST. BEES HEAD (LH)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032130,54.3170000,-3.4000000,9.00, "ESKMEALS" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032161,54.8000000,-3.2830000,20.00, "BROMFIELD" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032290,54.7000000,-2.4500000,847.00, "GREAT DUN FELL" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032331,54.2170000,-2.3330000,312.00, "RIBBLEHEAD" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032371,54.6500000,-2.2000000,381.00, "FOREST" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032441,55.3000000,-1.6330000,42.00, "ACKLINGTON" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032620,55.0170000,-1.4170000,30.00, "TYNEMOUTH" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032701,54.6000000,-1.2330000,5.00, "MIDDLESBROUGH" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032820,54.4830000,-0.6000000,60.00, "WHITBY" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-032911,54.1170000,-0.0830000,46.00, "FLAMBOROUGH HEAD" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033011,53.4170000,-2.6500000,18.00, "RAF BURTONWOOD" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033091,53.0330000,-3.7000000,262.00, "YSPYTT IFAN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033151,53.5500000,-3.1000000,9.00, "FORMBY POINT" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033220,53.5500000,-2.9170000,56.00, "AUGHTON" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033411,53.2000000,-1.9670000,457.00, "FLASH" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033431,53.6500000,-1.7830000,232.00, "HUDDERSFIELD/OAKES" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033470,53.8000000,-1.5500000,47.00, "LEEDS WEATHER CTR" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033600,53.4830000,-1.0000000,17.00, "FINNINGLEY(RAF)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033631,53.0170000,-0.9170000,63.00, "SYERSTON" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033880,53.4500000,-0.2000000,108.00, "BINBROOK(RAF)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033901,53.3330000,0.5670000,37.00, "INNER DOWSING (LH)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033961,53.5670000,0.1170000,7.00, "SPURN HEAD (POINT)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-033981,53.6170000,0.3670000,5.00, "HUMBER (LGT-VSL)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-034001,52.7500000,-4.8000000,16.00, "BARDSEY ISL (LH)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-034931,52.9170000,1.3170000,62.00, "CROMER (LGT-H)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-034981,52.8000000,1.8330000,5.00, "NEWARP (LGT-VSL)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-034991,52.7170000,2.3000000,5.00, "SMITH'S KNOLL L.V." ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035031,52.0830000,-4.0170000,332.00, "ESGAIRWEN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035041,52.3830000,-3.5000000,282.00, "CENARTH" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035061,52.4670000,-3.6000000,292.00, "CLYWEDOG DAM" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035121,52.1830000,-2.9830000,178.00, "LYONSHALL" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035250,52.0830000,-2.3000000,53.00, "MALVERN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035311,52.4830000,-1.9330000,163.00, "BIRMINGHAM" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035531,51.8330000,-0.6830000,93.00, "RAF CHEDDINGTON" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035570,52.0670000,-0.6170000,111.00, "CRANFIELD" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035611,52.3170000,-0.3830000,73.00, "RAF KIMBOLTON" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035671,52.1000000,-0.0500000,23.00, "BASSINGBOURN" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035881,52.3170000,0.9170000,60.00, "SHEPHERD'S GROVE" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-035991,52.0330000,1.7000000,5.00, "SHIPWASH (LGT-VSL)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036030,51.8830000,-5.1170000,111.00, "BRAWDY(RAF)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036061,51.7000000,-4.6670000,84.00, "MONKSTONE POINT" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036140,51.6330000,-3.3000000,194.00, "CILFYNYDD" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036151,51.7170000,-3.4670000,174.00, "ABERDARE" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036251,51.8000000,-2.7000000,38.00, "WYESHAM" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036261,51.8000000,-2.6170000,25.00, "BERRY HILL" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036331,51.8670000,-2.2330000,24.00, "GLOUCESTER" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036691,51.7330000,-0.5500000,157.00, "BOVINGDON" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036740,51.6830000,-0.5330000,139.00, "CHENIES(AUTO)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-036991,51.7330000,1.9670000,5.00, "GALLOPER (LGT-VSL)" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-037031,51.0330000,-4.5330000,91.00, "HARTLAND POINT" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-037061,51.2170000,-4.0830000,61.00, "ILFRACOMBE C.G." ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-037111,51.1000000,-3.4830000,332.00, "EXTON" ,"  ",UK," ","WMO Resolution 40","     ",
221,AFWA-037120,51.2000000,-3.5330000,83.00, "TIVINGTON" ,"  ",UK," ","WMO Resolution 40","     ",
